rebalance_date,ticker
2024-01-01,THYAO.IS
2024-01-01,GARAN.IS
2024-01-01,AKBNK.IS
2024-01-01,BIMAS.IS
2024-01-01,EREGL.IS
2024-01-01,ASELS.IS
2024-01-01,ISCTR.IS
2024-01-01,KCHOL.IS
2024-01-01,SAHOL.IS
2024-01-01,TUPRS.IS
2024-01-01,FROTO.IS
2024-01-01,SISE.IS
2024-01-01,TCELL.IS
2024-01-01,YKBNK.IS
2024-01-01,VAKBN.IS
2024-01-01,HALKB.IS
2024-01-01,ENKAI.IS
2024-01-01,TOASO.IS
2024-01-01,TTKOM.IS
2024-01-01,MGROS.IS
2024-01-01,PGSUS.IS
2024-01-01,EKGYO.IS
2024-01-01,KRDMD.IS
2024-01-01,ARCLK.IS
2024-01-01,ULKER.IS
2024-01-01,DOHOL.IS
2024-01-01,ALARK.IS
2024-01-01,CCOLA.IS
2024-01-01,OTKAR.IS
2024-01-01,SOKM.IS
2024-01-01,VESTL.IS
